文件路径：/home/xuchen/FanMing/file/topicScore/Anzhi/43.txt
文件总数：1307
敏感函数个数:218
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,53/1307,3334/6154,0.7497338338875135
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,286/1307,2780/6154,0.29742191429207254
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,125/1307,1752/6154,0.2892209350658342
android/os/PowerManager$WakeLock:acquire()V,430/1307,2385/6154,0.1867222923377077
java/net/URLConnection:connect()V,410/1307,1802/6154,0.14712148940517777
android/os/PowerManager$WakeLock:release()V,578/1307,2388/6154,0.13720989485882715
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,874/1307,4590/6154,0.12997854787492372
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,554/1307,2129/6154,0.12868881457439083
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;)V,271/1307,1111/6154,0.12307054361715794
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,226/1307,976/6154,0.12057259292462194
android/widget/VideoView:pause()V,171/1307,814/6154,0.11649791558463087
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,606/1307,2115/6154,0.114474940869139
java/net/URLConnection:getInputStream()java/io/InputStream;,630/1307,2120/6154,0.10894410205934177
android/widget/VideoView:stopPlayback()V,244/1307,866/6154,0.1023199268419022
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,303/1307,979/6154,0.10076382221130693
android/net/wifi/WifiManager:getConnectionInfo()android/net/wifi/WifiInfo;,644/1307,1972/6154,0.09828464436920464
android/widget/VideoView:start()V,329/1307,948/6154,0.09208287975660037
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,418/1307,1097/6154,0.08807044790085004
android/net/wifi/WifiManager:getWifiState()I,152/1307,569/6154,0.08613444673352551
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,702/1307,1863/6154,0.08153130470435846
android/telephony/gsm/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,22/1307,278/6154,0.07925971318402673
android/net/wifi/WifiManager:startScan()Z,162/1307,511/6154,0.07507132911979782
android/app/DownloadManager:enqueue(android/app/DownloadManager$Request;)J,73/1307,368/6154,0.07457135901342883
android/net/wifi/WifiManager:isWifiEnabled()Z,398/1307,881/6154,0.07377017737381124
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,333/1307,715/6154,0.06884275615044208
android/net/wifi/WifiManager:getScanResults()java/util/ist;,376/1307,750/6154,0.06580284010904511
android/telephony/TelephonyManager:getDeviceId()java/lang/String;,962/1307,2915/6154,0.06283274469113885
android/telephony/TelephonyManager:getNeighboringCellInfo()java/util/ist;,254/1307,540/6154,0.06227772503398735
android/location/LocationManager:addGpsStatusListener(android/location/GpsStatus$istener;)Z,124/1307,374/6154,0.06195039403479208
android/provider/Settings$System:putInt(android/content/ContentResolver;java/lang/String;I)Z,74/1307,306/6154,0.06171783932430717
java/net/URL:getContent()java/lang/Object;,139/1307,389/6154,0.06132391902664887
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/app/PendingIntent;)V,181/1307,439/6154,0.0610779401401383
android/telephony/TelephonyManager:getCellLocation()android/telephony/Cellocation;,523/1307,937/6154,0.06043822061410759
android/widget/VideoView:setVideoPath(java/lang/String;)V,239/1307,501/6154,0.05992334047454308
android/media/MediaPlayer:reset()V,751/1307,1486/6154,0.05796649529176282
android/media/MediaPlayer:stop()V,807/1307,1616/6154,0.05484637479987461
android/location/LocationManager:getLastKnownLocation(java/lang/String;)android/location/ocation;,732/1307,1334/6154,0.05444636523581109
android/net/ConnectivityManager:getNetworkInfo(I)android/net/NetworkInfo;,752/1307,1368/6154,0.05323520902951352
android/media/MediaPlayer:pause()V,836/1307,1566/6154,0.04925243791577629
android/media/MediaPlayer:release()V,879/1307,1646/6154,0.04594916132570658
android/media/MediaRecorder:setAudioSource(I)V,138/1307,267/6154,0.04222629675270749
android/os/Vibrator:cancel()V,163/1307,284/6154,0.0416000347785714
android/app/ActivityManager:getRunningTasks(I)java/util/ist;,346/1307,434/6154,0.040617584164887394
java/net/HttpURLConnection:connect()V,1066/1307,2765/6154,0.039588459530637936
java/net/URL:openStream()java/io/InputStream;,503/1307,556/6154,0.03738996562090844
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;)org/apache/http/HttpResponse;,69/1307,180/6154,0.03718101374097038
android/widget/VideoView:setVideoURI(android/net/Uri;)V,128/1307,216/6154,0.03529869182527783
android/os/Vibrator:vibrate([JI)V,223/1307,281/6154,0.034977859434227036
android/os/Vibrator:vibrate(J)V,224/1307,279/6154,0.03464120350697136
android/telephony/TelephonyManager:getDeviceSoftwareVersion()java/lang/String;,15/1307,108/6154,0.033557491929128845
android/net/wifi/WifiManager:setWifiEnabled(Z)Z,89/1307,160/6154,0.030212104729053477
android/location/LocationManager:getProviders(Z)java/util/ist;,92/1307,155/6154,0.028909304362873645
android/telephony/TelephonyManager:listen(android/telephony/PhoneStateistener;I)V,700/1307,609/6154,0.026774384123311075
java/net/ServerSocket:bind(java/net/SocketAddress;)V,98/1307,137/6154,0.024947633057957466
android/net/ConnectivityManager:startUsingNetworkFeature(Ijava/lang/String;)I,6/1307,67/6154,0.024726827378443495
android/media/MediaPlayer:start()V,1066/1307,1726/6154,0.024712362079522994
android/accounts/AccountManager:getAccounts()[android/accounts/Account;,18/1307,81/6154,0.02418577850452469
android/app/ActivityManager:getRecentTasks(II)java/util/ist;,41/1307,95/6154,0.023048017262325506
