文件路径：/home/xuchen/FanMing/file/topicScore/Google/Communication.txt
文件总数：622
敏感函数个数:227
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,55/622,3334/6154,0.5664670556581927
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,30/622,2129/6154,0.4505802214549215
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,39/622,2115/6154,0.4095726002538903
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,34/622,1752/6154,0.35578705561856216
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,112/622,2780/6154,0.33460825423408663
java/net/URLConnection:connect()V,59/622,1802/6154,0.2973970945761341
android/net/wifi/WifiManager:getConnectionInfo()android/net/wifi/WifiInfo;,102/622,1972/6154,0.25025018386280384
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,288/622,4590/6154,0.24829001746478765
android/media/MediaPlayer:pause()V,68/622,1566/6154,0.24300261071356521
android/telephony/TelephonyManager:getDeviceId()java/lang/String;,197/622,2915/6154,0.23547610363363233
java/net/URLConnection:getInputStream()java/io/InputStream;,135/622,2120/6154,0.22745094731876417
android/media/MediaPlayer:reset()V,78/622,1486/6154,0.21639562138332152
android/telephony/TelephonyManager:getCellLocation()android/telephony/Cellocation;,25/622,937/6154,0.20993688063156335
android/media/MediaPlayer:stop()V,114/622,1616/6154,0.19250528951071277
android/os/PowerManager$WakeLock:release()V,200/622,2388/6154,0.19037036943801552
android/os/PowerManager$WakeLock:acquire()V,200/622,2385/6154,0.19013121068244013
android/media/MediaPlayer:release()V,121/622,1646/6154,0.1892152570540221
android/telephony/TelephonyManager:getNeighboringCellInfo()java/util/ist;,4/622,540/6154,0.18381589297880924
android/net/ConnectivityManager:getNetworkInfo(I)android/net/NetworkInfo;,93/622,1368/6154,0.18242871994355742
android/net/wifi/WifiManager:getScanResults()java/util/ist;,19/622,750/6154,0.18192562427203904
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,161/622,1863/6154,0.17687764292916375
android/provider/Browser:getAllVisitedUrls(android/content/ContentResolver;)android/database/Cursor;,2/622,457/6154,0.1720373403309747
java/net/HttpURLConnection:connect()V,258/622,2765/6154,0.17095491809968352
android/media/MediaPlayer:start()V,154/622,1726/6154,0.1692508438307491
android/net/wifi/WifiManager:isWifiEnabled()Z,45/622,881/6154,0.1619173999351876
android/app/DownloadManager:enqueue(android/app/DownloadManager$Request;)J,1/622,368/6154,0.14906334468018786
android/location/LocationManager:addGpsStatusListener(android/location/GpsStatus$istener;)Z,2/622,374/6154,0.1407920465728327
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/app/PendingIntent;)V,6/622,439/6154,0.13901136485424287
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,85/622,979/6154,0.13669918798258998
java/net/URL:openConnection()java/net/URConnection;,322/622,2946/6154,0.1362359185101922
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,87/622,976/6154,0.1346968357880524
android/net/wifi/WifiManager:getWifiState()I,22/622,569/6154,0.13240877318736846
android/net/wifi/WifiManager:startScan()Z,16/622,511/6154,0.12981272144177938
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,48/622,715/6154,0.12822065775650765
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,118/622,1097/6154,0.12803266742902533
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;)V,123/622,1111/6154,0.1264396530998142
