文件路径：/home/xuchen/FanMing/file/topicScore/Google/Entertainment.txt
文件总数：798
敏感函数个数:143
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,11/798,3334/6154,0.9875345085213765
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,184/798,4590/6154,0.4734928563422189
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,75/798,2780/6154,0.4613107330865173
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,44/798,2115/6154,0.4291829133201074
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,54/798,2129/6154,0.40187390148723723
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,40/798,1752/6154,0.3670314833723597
android/os/PowerManager$WakeLock:acquire()V,118/798,2385/6154,0.32029531897145014
android/os/PowerManager$WakeLock:release()V,120/798,2388/6154,0.31788941180205704
android/net/wifi/WifiManager:getConnectionInfo()android/net/wifi/WifiInfo;,115/798,1972/6154,0.2683845542717184
android/telephony/TelephonyManager:getDeviceId()java/lang/String;,253/798,2915/6154,0.23549693603189095
java/net/URLConnection:connect()V,168/798,1802/6154,0.19739313755283955
android/net/wifi/WifiManager:getWifiState()I,5/798,569/6154,0.19637172305984266
android/net/ConnectivityManager:getNetworkInfo(I)android/net/NetworkInfo;,130/798,1368/6154,0.17444147268617358
android/net/wifi/WifiManager:isWifiEnabled()Z,48/798,881/6154,0.17348095560202667
android/media/MediaPlayer:reset()V,160/798,1486/6154,0.16786367318229692
java/net/URLConnection:getInputStream()java/io/InputStream;,261/798,2120/6154,0.1666310354347881
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,248/798,1863/6154,0.15312187243208517
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/app/PendingIntent;)V,5/798,439/6154,0.1515064787755201
android/media/MediaPlayer:pause()V,207/798,1566/6154,0.1485943037542343
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,44/798,715/6154,0.14509020473942164
android/app/DownloadManager:enqueue(android/app/DownloadManager$Request;)J,2/798,368/6154,0.14500429676311874
android/media/MediaPlayer:stop()V,237/798,1616/6154,0.13797340101063624
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,129/798,979/6154,0.1253672877354519
android/location/LocationManager:addGpsStatusListener(android/location/GpsStatus$istener;)Z,6/798,374/6154,0.1250052672082939
android/telephony/TelephonyManager:listen(android/telephony/PhoneStateistener;I)V,47/798,609/6154,0.1208066050163896
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,141/798,976/6154,0.11890175460520779
android/media/MediaPlayer:release()V,287/798,1646/6154,0.11838425809418374
