文件路径：/home/xuchen/FanMing/file/topicScore/Google/Finance.txt
文件总数：492
敏感函数个数:122
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,13/492,3334/6154,0.8374749401487056
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,99/492,4590/6154,0.5161065683623958
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,15/492,2129/6154,0.514725749222822
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,49/492,2780/6154,0.44857432135832453
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,37/492,2115/6154,0.3822333255619782
android/os/PowerManager$WakeLock:acquire()V,50/492,2385/6154,0.3815050211417901
android/os/PowerManager$WakeLock:release()V,52/492,2388/6154,0.3755024193698037
java/net/URLConnection:connect()V,36/492,1802/6154,0.3290577849233114
android/net/wifi/WifiManager:getConnectionInfo()android/net/wifi/WifiInfo;,46/492,1972/6154,0.32680828839909
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,36/492,1752/6154,0.3199274357301008
android/media/MediaPlayer:pause()V,38/492,1566/6154,0.2801446500374047
android/media/MediaPlayer:stop()V,43/492,1616/6154,0.27533247982944026
android/media/MediaPlayer:release()V,45/492,1646/6154,0.27528033282535
android/media/MediaPlayer:reset()V,37/492,1486/6154,0.2685573152648225
android/telephony/TelephonyManager:getCellLocation()android/telephony/Cellocation;,8/492,937/6154,0.26458337178231545
android/net/wifi/WifiManager:isWifiEnabled()Z,9/492,881/6154,0.24221989852746906
android/telephony/TelephonyManager:getDeviceId()java/lang/String;,160/492,2915/6154,0.22979864249821474
android/media/MediaPlayer:start()V,77/492,1726/6154,0.22433807005731146
android/net/ConnectivityManager:getNetworkInfo(I)android/net/NetworkInfo;,53/492,1368/6154,0.213307376852117
java/net/URLConnection:getInputStream()java/io/InputStream;,125/492,2120/6154,0.20379923012960197
android/telephony/TelephonyManager:listen(android/telephony/PhoneStateistener;I)V,5/492,609/6154,0.1893910685898088
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/app/PendingIntent;)V,1/492,439/6154,0.17055906922625666
java/net/HttpURLConnection:connect()V,231/492,2765/6154,0.14668658286129568
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,29/492,715/6154,0.14114614094151834
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,171/492,1863/6154,0.1381770376774177
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,70/492,976/6154,0.13333275787311116
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,107/492,1097/6154,0.11739029216227014
android/location/LocationManager:addGpsStatusListener(android/location/GpsStatus$istener;)Z,5/492,374/6154,0.11630912915039161
android/app/ActivityManager:getRunningTasks(I)java/util/ist;,15/492,434/6154,0.10492765390451138
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,123/492,979/6154,0.09521839548836816
android/location/LocationManager:getLastKnownLocation(java/lang/String;)android/location/ocation;,183/492,1334/6154,0.09259253675608337
android/telephony/gsm/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,4/492,278/6154,0.09003130278906613
android/os/Vibrator:cancel()V,5/492,284/6154,0.08832030127997653
android/widget/VideoView:pause()V,107/492,814/6154,0.08710637905204002
java/net/URL:openConnection()java/net/URConnection;,326/492,2946/6154,0.08493199763006838
android/widget/VideoView:start()V,141/492,948/6154,0.08313512625094574
android/widget/VideoView:stopPlayback()V,131/492,866/6154,0.08040701244268249
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;)V,183/492,1111/6154,0.077114174164924
android/os/Vibrator:vibrate([JI)V,11/492,281/6154,0.07364190180991967
android/net/ConnectivityManager:getActiveNetworkInfo()android/net/NetworkInfo;,269/492,1599/6154,0.06771230751296528
android/media/MediaRecorder:setAudioSource(I)V,15/492,267/6154,0.06455226634217635
java/net/URL:getContent()java/lang/Object;,53/492,389/6154,0.06065538713119408
java/net/URL:openStream()java/io/InputStream;,118/492,556/6154,0.05569198677354652
android/widget/VideoView:setVideoPath(java/lang/String;)V,121/492,501/6154,0.04930260664907355
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;)org/apache/http/HttpResponse;,11/492,180/6154,0.04717274849034
android/net/wifi/WifiManager:setWifiEnabled(Z)Z,7/492,160/6154,0.04650959027040408
android/widget/VideoView:setVideoURI(android/net/Uri;)V,29/492,216/6154,0.04263995306764749
android/telephony/TelephonyManager:getDeviceSoftwareVersion()java/lang/String;,1/492,108/6154,0.041959862133110974
android/app/ActivityManager:getRecentTasks(II)java/util/ist;,2/492,95/6154,0.034190797134307976
java/net/ServerSocket:bind(java/net/SocketAddress;)V,15/492,137/6154,0.03312232392838262
android/app/ActivityManager:restartPackage(java/lang/String;)V,6/492,107/6154,0.032111598263663
android/os/Vibrator:vibrate(J)V,106/492,279/6154,0.030039029850165756
android/location/LocationManager:getProviders(Z)java/util/ist;,37/492,155/6154,0.028012371376882565
