文件路径：/home/xuchen/FanMing/file/topicScore/Google/Medical.txt
文件总数：374
敏感函数个数:94
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,8/374,3334/6154,0.876910853959326
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,64/374,4590/6154,0.5668196859131454
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,25/374,2780/6154,0.5230674596617584
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,16/374,2129/6154,0.46441629630654485
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,18/374,2115/6154,0.44476106152726397
android/os/PowerManager$WakeLock:release()V,26/374,2388/6154,0.4429510427759319
android/os/PowerManager$WakeLock:acquire()V,26/374,2385/6154,0.4423945716166657
android/telephony/TelephonyManager:getCellLocation()android/telephony/Cellocation;,1/374,937/6154,0.3459076349243906
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,28/374,1752/6154,0.31614393154635523
android/net/wifi/WifiManager:getConnectionInfo()android/net/wifi/WifiInfo;,45/374,1972/6154,0.29163866679611355
android/telephony/TelephonyManager:getDeviceId()java/lang/String;,98/374,2915/6154,0.2734228352555316
java/net/URLConnection:connect()V,59/374,1802/6154,0.23270816931653224
android/telephony/TelephonyManager:listen(android/telephony/PhoneStateistener;I)V,1/374,609/6154,0.22482150444925705
android/media/MediaPlayer:reset()V,44/374,1486/6154,0.22206912664929362
android/net/wifi/WifiManager:isWifiEnabled()Z,10/374,881/6154,0.21924486933932838
android/net/ConnectivityManager:getNetworkInfo(I)android/net/NetworkInfo;,38/374,1368/6154,0.2182502387712067
java/net/URLConnection:getInputStream()java/io/InputStream;,91/374,2120/6154,0.20982411483465077
android/media/MediaPlayer:pause()V,65/374,1566/6154,0.19169826551631228
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,87/374,1863/6154,0.19023213790765847
android/media/MediaPlayer:release()V,74/374,1646/6154,0.18664215431902048
android/media/MediaPlayer:stop()V,77/374,1616/6154,0.17876757088205386
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,12/374,715/6154,0.16950498840980743
android/media/MediaPlayer:start()V,93/374,1726/6154,0.16820892266573756
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,32/374,979/6154,0.1677309313314622
android/location/LocationManager:getLastKnownLocation(java/lang/String;)android/location/ocation;,79/374,1334/6154,0.14518827992983227
android/location/LocationManager:addGpsStatusListener(android/location/GpsStatus$istener;)Z,1/374,374/6154,0.1380677219442071
android/app/DownloadManager:enqueue(android/app/DownloadManager$Request;)J,1/374,368/6154,0.13585273175258883
java/net/HttpURLConnection:connect()V,189/374,2765/6154,0.13214759074581664
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;)V,70/374,1111/6154,0.13027499587550226
android/app/ActivityManager:getRunningTasks(I)java/util/ist;,7/374,434/6154,0.11775840445247072
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,68/374,976/6154,0.11641305999156766
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,98/374,1097/6154,0.10289703268450025
