文件路径：/home/xuchen/FanMing/file/topicScore/Google/Personalization.txt
文件总数：732
敏感函数个数:99
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,5/732,3334/6154,1.1303093395303236
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,11/732,2780/6154,0.806502590401354
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,8/732,2115/6154,0.6565190167329098
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,6/732,1752/6154,0.574912519972266
android/net/wifi/WifiManager:getConnectionInfo()android/net/wifi/WifiInfo;,12/732,1972/6154,0.5609554047933161
android/os/PowerManager$WakeLock:release()V,30/732,2388/6154,0.53283729877985
android/os/PowerManager$WakeLock:acquire()V,30/732,2385/6154,0.532167905188418
android/telephony/TelephonyManager:getDeviceId()java/lang/String;,61/732,2915/6154,0.5078368583681836
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,155/732,4590/6154,0.500757873839948
java/net/URLConnection:connect()V,14/732,1802/6154,0.4943991743985837
java/net/URLConnection:getInputStream()java/io/InputStream;,36/732,2120/6154,0.44656740929830374
android/net/ConnectivityManager:getNetworkInfo(I)android/net/NetworkInfo;,8/732,1368/6154,0.42464208741873316
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,55/732,2129/6154,0.38619625968103927
android/telephony/TelephonyManager:getCellLocation()android/telephony/Cellocation;,2/732,937/6154,0.363500855911503
android/media/MediaPlayer:reset()V,26/732,1486/6154,0.3460605968333629
android/media/MediaPlayer:pause()V,39/732,1566/6154,0.3212542097039085
android/media/MediaPlayer:release()V,46/732,1646/6154,0.31893275353589895
java/net/HttpURLConnection:connect()V,157/732,2765/6154,0.29916904349975215
android/media/MediaPlayer:stop()V,53/732,1616/6154,0.29728657639201234
android/media/MediaPlayer:start()V,66/732,1726/6154,0.29124813396898896
android/net/wifi/WifiManager:getScanResults()java/util/ist;,3/732,750/6154,0.2757293333275629
android/net/wifi/WifiManager:isWifiEnabled()Z,11/732,881/6154,0.2555858928574075
java/net/URL:openConnection()java/net/URConnection;,217/732,2946/6154,0.25182918664914794
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,112/732,1863/6154,0.2456449469941783
android/location/LocationManager:getLastKnownLocation(java/lang/String;)android/location/ocation;,57/732,1334/6154,0.23868131925884573
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;)V,37/732,1111/6154,0.23193568983012633
