文件路径：/home/xuchen/FanMing/file/topicScore/Google/Productivity.txt
文件总数：569
敏感函数个数:216
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,26/569,3334/6154,0.7171559159010568
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,49/569,2780/6154,0.47710033937669244
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,43/569,2115/6154,0.38205395395796055
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,45/569,2129/6154,0.3779042235139804
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,35/569,1752/6154,0.3412926079590311
java/net/URLConnection:connect()V,39/569,1802/6154,0.33763409159423624
android/media/MediaPlayer:pause()V,54/569,1566/6154,0.2582219430332622
java/net/URLConnection:getInputStream()java/io/InputStream;,110/569,2120/6154,0.24451629667368172
android/media/MediaPlayer:reset()V,55/569,1486/6154,0.24314095218262302
android/telephony/TelephonyManager:getDeviceId()java/lang/String;,185/569,2915/6154,0.2300165785093283
android/os/PowerManager$WakeLock:acquire()V,150/569,2385/6154,0.22328286253786736
android/net/wifi/WifiManager:getConnectionInfo()android/net/wifi/WifiInfo;,114/569,1972/6154,0.2225195398364898
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,289/569,4590/6154,0.21832279694461623
android/os/PowerManager$WakeLock:release()V,157/569,2388/6154,0.21592703420608853
android/media/MediaPlayer:release()V,104/569,1646/6154,0.19630113815683603
android/net/wifi/WifiManager:getScanResults()java/util/ist;,13/569,750/6154,0.19609005086734235
android/media/MediaPlayer:stop()V,104/569,1616/6154,0.19272335313575154
android/telephony/TelephonyManager:getCellLocation()android/telephony/Cellocation;,33/569,937/6154,0.18630881513545478
android/media/MediaPlayer:start()V,138/569,1726/6154,0.171673744972266
android/net/ConnectivityManager:getNetworkInfo(I)android/net/NetworkInfo;,96/569,1368/6154,0.1707978303464794
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/app/PendingIntent;)V,3/569,439/6154,0.1535895269344265
android/net/wifi/WifiManager:startScan()Z,8/569,511/6154,0.1495359840436117
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,182/569,1863/6154,0.14914328438840227
android/net/wifi/WifiManager:isWifiEnabled()Z,51/569,881/6154,0.14875771221186213
android/provider/Browser:getAllVisitedUrls(android/content/ContentResolver;)android/database/Cursor;,6/569,457/6154,0.14183888551446736
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,41/569,715/6154,0.13150504189762385
java/net/HttpURLConnection:connect()V,290/569,2765/6154,0.13084519045114365
android/telephony/TelephonyManager:getNeighboringCellInfo()java/util/ist;,19/569,540/6154,0.12759252944341706
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,91/569,976/6154,0.12550091851029047
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,112/569,1097/6154,0.12514317577739384
android/location/LocationManager:getLastKnownLocation(java/lang/String;)android/location/ocation;,159/569,1334/6154,0.11943836634839475
android/net/wifi/WifiManager:getWifiState()I,32/569,569/6154,0.11433611436273601
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,109/569,979/6154,0.1135410253543829
android/location/LocationManager:addGpsStatusListener(android/location/GpsStatus$istener;)Z,7/569,374/6154,0.11255384018472045
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;)V,137/569,1111/6154,0.11106988348604978
java/net/URL:openConnection()java/net/URConnection;,347/569,2946/6154,0.10222104064563735
android/telephony/TelephonyManager:listen(android/telephony/PhoneStateistener;I)V,70/569,609/6154,0.08944540719283092
android/telephony/gsm/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,8/569,278/6154,0.08135225746403923
android/widget/VideoView:start()V,182/569,948/6154,0.07589255695126428
android/widget/VideoView:pause()V,156/569,814/6154,0.07396799931499377
android/provider/Browser:getAllBookmarks(android/content/ContentResolver;)android/database/Cursor;,1/569,182/6154,0.07257766871515411
android/widget/VideoView:stopPlayback()V,177/569,866/6154,0.07102104333744384
android/os/Vibrator:cancel()V,16/569,284/6154,0.07036145433616679
java/net/URL:getContent()java/lang/Object;,49/569,389/6154,0.06675972374731416
java/net/URL:openStream()java/io/InputStream;,103/569,556/6154,0.06668376396905064
android/app/ActivityManager:getRunningTasks(I)java/util/ist;,67/569,434/6154,0.06506497489453271
android/net/ConnectivityManager:getActiveNetworkInfo()android/net/NetworkInfo;,325/569,1599/6154,0.06285173406842448
android/provider/Settings$System:putInt(android/content/ContentResolver;java/lang/String;I)Z,32/569,306/6154,0.061488314578202495
android/os/Vibrator:vibrate([JI)V,34/569,281/6154,0.055297924341011946
android/media/MediaRecorder:setAudioSource(I)V,32/569,267/6154,0.053651568602549236
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;)org/apache/http/HttpResponse;,12/569,180/6154,0.048002990662314296
android/widget/VideoView:setVideoPath(java/lang/String;)V,169/569,501/6154,0.04271308674901128
android/widget/VideoView:setVideoURI(android/net/Uri;)V,34/569,216/6154,0.04250658952903409
android/os/Vibrator:vibrate(J)V,116/569,279/6154,0.031142747302087385
