文件路径：/home/xuchen/FanMing/file/topicScore/Google/Shopping.txt
文件总数：377
敏感函数个数:148
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,9/377,3334/6154,0.8540009849831188
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,46/377,2780/6154,0.40848178558836684
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,121/377,4590/6154,0.36545582948448085
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,23/377,1752/6154,0.3405297286450789
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,42/377,2115/6154,0.32404552683367344
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,46/377,2129/6154,0.3128265185315227
java/net/URLConnection:connect()V,33/377,1802/6154,0.30595419313628447
android/os/PowerManager$WakeLock:acquire()V,64/377,2385/6154,0.2958686650386099
android/os/PowerManager$WakeLock:release()V,65/377,2388/6154,0.2936678950629592
android/media/MediaPlayer:pause()V,34/377,1566/6154,0.26268118247802086
android/media/MediaPlayer:reset()V,30/377,1486/6154,0.2619889127994928
android/net/wifi/WifiManager:getConnectionInfo()android/net/wifi/WifiInfo;,57/377,1972/6154,0.2604915728468819
android/media/MediaPlayer:stop()V,40/377,1616/6154,0.25302387219263384
android/media/MediaPlayer:release()V,51/377,1646/6154,0.23011315547868957
android/telephony/TelephonyManager:getDeviceId()java/lang/String;,136/377,2915/6154,0.20823766372911287
android/net/ConnectivityManager:getNetworkInfo(I)android/net/NetworkInfo;,44/377,1368/6154,0.2052064101782344
android/telephony/TelephonyManager:getCellLocation()android/telephony/Cellocation;,21/377,937/6154,0.18787484452590522
java/net/URLConnection:getInputStream()java/io/InputStream;,125/377,2120/6154,0.1639678431568163
android/net/wifi/WifiManager:isWifiEnabled()Z,29/377,881/6154,0.15736316284096213
android/net/wifi/WifiManager:getScanResults()java/util/ist;,21/377,750/6154,0.1503800783291664
android/media/MediaPlayer:start()V,112/377,1726/6154,0.1467584948005876
android/net/wifi/WifiManager:getWifiState()I,9/377,569/6154,0.1457488183729438
android/telephony/TelephonyManager:getNeighboringCellInfo()java/util/ist;,13/377,540/6154,0.1254980808977705
android/telephony/TelephonyManager:listen(android/telephony/PhoneStateistener;I)V,22/377,609/6154,0.12019818494322615
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,156/377,1863/6154,0.11517108920945558
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/app/PendingIntent;)V,9/377,439/6154,0.11244943983430988
android/net/wifi/WifiManager:startScan()Z,22/377,511/6154,0.10085594828569551
android/widget/VideoView:pause()V,69/377,814/6154,0.0967227907858158
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,55/377,715/6154,0.09621865877278332
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,95/377,976/6154,0.09421716515343437
android/app/ActivityManager:getRunningTasks(I)java/util/ist;,20/377,434/6154,0.08844474684348279
java/net/HttpURLConnection:connect()V,241/377,2765/6154,0.08650216873303945
android/provider/Settings$System:putInt(android/content/ContentResolver;java/lang/String;I)Z,6/377,306/6154,0.0860839215012366
android/widget/VideoView:stopPlayback()V,92/377,866/6154,0.08553873510408008
android/widget/VideoView:start()V,104/377,948/6154,0.08551903550159089
android/telephony/gsm/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,4/377,278/6154,0.08480813034640838
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,117/377,979/6154,0.08025116943431498
android/os/Vibrator:cancel()V,6/377,284/6154,0.07989488139330457
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,134/377,1097/6154,0.07950443892374603
android/location/LocationManager:addGpsStatusListener(android/location/GpsStatus$istener;)Z,23/377,374/6154,0.07269299001898373
android/os/Vibrator:vibrate([JI)V,14/377,281/6154,0.06393732135410812
android/location/LocationManager:getLastKnownLocation(java/lang/String;)android/location/ocation;,196/377,1334/6154,0.0611019524658698
android/media/MediaRecorder:setAudioSource(I)V,16/377,267/6154,0.05839344791955598
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;)V,179/377,1111/6154,0.057963517534751846
java/net/URL:getContent()java/lang/Object;,52/377,389/6154,0.05385984269667639
android/net/ConnectivityManager:getActiveNetworkInfo()android/net/NetworkInfo;,235/377,1599/6154,0.052857251581063094
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/HttpHost;org/apache/http/HttpRequest;)org/apache/http/HttpResponse;,5/377,180/6154,0.052595745526159705
android/widget/VideoView:setVideoPath(java/lang/String;)V,89/377,501/6154,0.05064535574000658
java/net/URL:openConnection()java/net/URConnection;,300/377,2946/6154,0.04680609712167749
android/widget/VideoView:setVideoURI(android/net/Uri;)V,22/377,216/6154,0.04263186855129203
java/net/URL:openStream()java/io/InputStream;,133/377,556/6154,0.04058750777113873
android/app/ActivityManager:getRecentTasks(II)java/util/ist;,1/377,95/6154,0.03512424092971597
java/net/ServerSocket:bind(java/net/SocketAddress;)V,10/377,137/6154,0.03417094038211193
android/telephony/TelephonyManager:getDeviceSoftwareVersion()java/lang/String;,8/377,108/6154,0.028467122977377076
android/net/wifi/WifiManager:setWifiEnabled(Z)Z,32/377,160/6154,0.02750282509789809
android/app/ActivityManager:restartPackage(java/lang/String;)V,9/377,107/6154,0.027407950027952526
android/os/Vibrator:vibrate(J)V,106/377,279/6154,0.024797069017426506
android/net/ConnectivityManager:startUsingNetworkFeature(Ijava/lang/String;)I,1/377,67/6154,0.024771833076747057
android/location/LocationManager:getProviders(Z)java/util/ist;,61/377,155/6154,0.019745238448109936
