文件路径：/home/xuchen/FanMing/file/topicScore/Google/Tools.txt
文件总数：625
敏感函数个数:211
函数名,主题使用次数,恶意使用次数,威胁评分
android/telephony/SmsManager:sendTextMessage(java/lang/String;java/lang/String;java/lang/String;android/app/PendingIntent;android/app/PendingIntent;)V,30/625,3334/6154,0.7067377462758664
android/telephony/TelephonyManager:getLine1Number()java/lang/String;,36/625,2780/6154,0.5545898042428149
java/net/URL:openConnection(java/net/Proxy;)java/net/URConnection;,32/625,2129/6154,0.4419097138325502
android/telephony/TelephonyManager:getSimSerialNumber()java/lang/String;,32/625,1752/6154,0.3636570308288529
android/telephony/TelephonyManager:getSubscriberId()java/lang/String;,60/625,2115/6154,0.34730478317109964
java/net/URLConnection:connect()V,45/625,1802/6154,0.33179820906139534
android/app/NotificationManager:notify(Iandroid/app/Notification;)V,256/625,4590/6154,0.28786094304820653
android/media/MediaPlayer:pause()V,50/625,1566/6154,0.2769407233330279
android/media/MediaPlayer:reset()V,46/625,1486/6154,0.27135851298030866
android/net/wifi/WifiManager:getConnectionInfo()android/net/wifi/WifiInfo;,92/625,1972/6154,0.26513276237474104
android/os/PowerManager$WakeLock:acquire()V,129/625,2385/6154,0.26428647158170515
android/os/PowerManager$WakeLock:release()V,130/625,2388/6154,0.2633275312628675
android/telephony/TelephonyManager:getDeviceId()java/lang/String;,178/625,2915/6154,0.25721866513675506
java/net/URLConnection:getInputStream()java/io/InputStream;,112/625,2120/6154,0.25588874497637143
android/media/MediaPlayer:release()V,95/625,1646/6154,0.21761456921761752
android/telephony/TelephonyManager:getCellLocation()android/telephony/Cellocation;,26/625,937/6154,0.2077594620140441
org/apache/http/impl/client/DefaultHttpClient:execute(org/apache/http/client/methods/HttpUriRequest;)org/apache/http/HttpResponse;,134/625,1863/6154,0.20148077049168275
android/media/MediaPlayer:stop()V,107/625,1616/6154,0.20021600896345706
android/media/MediaPlayer:start()V,125/625,1726/6154,0.1950681425191681
android/net/ConnectivityManager:getNetworkInfo(I)android/net/NetworkInfo;,89/625,1368/6154,0.1870913407237079
android/net/wifi/WifiManager:getScanResults()java/util/ist;,20/625,750/6154,0.17959791062034725
android/telephony/TelephonyManager:getNeighboringCellInfo()java/util/ist;,9/625,540/6154,0.15758453190864488
android/net/wifi/WifiManager:isWifiEnabled()Z,52/625,881/6154,0.15340969355895925
android/location/LocationManager:getBestProvider(android/location/Criteria;Z)java/lang/String;,92/625,1097/6154,0.14749018272063433
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;android/os/ooper;)V,73/625,976/6154,0.14696274593278916
android/net/ConnectivityManager:getAllNetworkInfo()[android/net/NetworkInfo;,35/625,715/6154,0.14401981221196025
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/app/PendingIntent;)V,5/625,439/6154,0.14393612750985205
java/net/HttpURLConnection:connect()V,301/625,2765/6154,0.141922172681158
android/location/LocationManager:getLastKnownLocation(java/lang/String;)android/location/ocation;,152/625,1334/6154,0.13248709366693523
android/net/wifi/WifiManager:startScan()Z,15/625,511/6154,0.13217246956867806
android/location/LocationManager:requestLocationUpdates(java/lang/String;JFandroid/location/ocationistener;)V,126/625,1111/6154,0.12494260079415008
android/location/LocationManager:isProviderEnabled(java/lang/String;)Z,103/625,979/6154,0.12390167335169706
android/net/wifi/WifiManager:getWifiState()I,37/625,569/6154,0.11244050428888752
java/net/URL:openConnection()java/net/URConnection;,364/625,2946/6154,0.11182121423576066
android/telephony/TelephonyManager:listen(android/telephony/PhoneStateistener;I)V,50/625,609/6154,0.10769917018506639
android/location/LocationManager:addGpsStatusListener(android/location/GpsStatus$istener;)Z,16/625,374/6154,0.09513669643991057
java/net/URL:getContent()java/lang/Object;,33/625,389/6154,0.07992395645391745
android/app/ActivityManager:getRunningTasks(I)java/util/ist;,52/625,434/6154,0.0755729931947654
